✅ Completed 900 requests for Chapter 7 in 96.81s
🚀 Throughput: 9.30 requests/sec

#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629529                      342986                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622423                      345732                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        604270                      337539                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616930                      345703                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616843                      345652                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616843                      345652                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        617103                      345822                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616438                      342550                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        636488                      337474                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        632597                      349511                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616834                      345653                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        911715                      384668                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        911715                      384668                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616960                      337599                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        611542                      337588                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622289                      345666                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        774134                      368610                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        623959                      342903                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        623959                      342903                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        620738                      351173                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616988                      337608                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        910529                      371019                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        623999                      351023                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        624146                      342978                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616893                      345676                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616893                      345676                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        638515                      344303                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        616969                      337645                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        618594                      337559                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        625569                      344202                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        631139                      344196                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        631139                      344196                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        631184                      342893                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        623965                      342896                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629638                      345731                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        806569                      405084                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        604620                      325307                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        604620                      325307                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        2934757                     2959660                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        4370158                     2477125                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        839984                      385926                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622453                      343075                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622696                      343162                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622606                      343122                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622606                      343122                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        737143                      375082                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        642730                      356899                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        624503                      343198                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629666                      337610                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        631560                      343114                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        631560                      343114                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        624129                      342952                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622682                      337810                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        613339                      329471                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        625424                      352582                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        780323                      359148                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        617157                      337704                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        617157                      337704                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        636836                      343082                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        5366483                     4267553                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        903745                      369899                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        617307                      345912                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        624277                      337708                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        624277                      337708                      0                           0                           0                 0                 
